CL_target,CD_target,CoP_target,Total_Points_legacy,Total_Points_corrected,Endurance_Score_legacy,Endurance_Score_corrected,Autocross_Score_legacy,Autocross_Score_corrected,Skidpad_Score_legacy,Skidpad_Score_corrected,Accel_Score_legacy,Accel_Score_corrected,DragEnergy_Endurance_kJ_legacy,DragEnergy_Endurance_kJ_corrected,TractiveEnergy_Endurance_kJ_legacy,TractiveEnergy_Endurance_kJ_corrected
0.055,0.02,0.475,399.32580619860306,436.20532108219936,189.54655785053268,202.88535660177428,81.94886867556103,86.67533342649295,75.24579981815164,71.42450388024466,52.58457985435775,75.22012717368753,617.9619558627044,647.6086601929284,1859.5187862579737,2020.321143028488
0.035,0.0225,0.475,360.44676961026164,397.09065060594605,170.61194109635795,182.65792960923102,71.79144145635692,76.20913618037827,69.12759122794168,66.84552330766451,48.915795829605074,71.37806150867229,637.4938791106595,663.8002137985873,1751.3077261276865,1883.8627527344956
0.04,0.0225,0.475,373.59845940358764,404.7947837992753,177.52033152371436,186.84842876044235,75.41084387873676,78.46594395892402,70.90144456702292,67.27490956990297,49.76583943411362,72.20550151000593,654.8455206661586,678.0507400902414,1799.582118654979,1928.4361709286654
0.045,0.0225,0.475,380.7247632068023,414.142208597058,181.3845132987682,191.2643108081542,77.42318411438984,80.67814739150053,71.33522469149668,69.18246379572976,50.58184110214758,73.01728660167356,668.435804958701,692.8086141903127,1840.8606142191716,1975.0248785536178
0.05,0.0225,0.475,389.68203077558877,421.4108798992648,185.51675853616197,195.22748724259353,79.51679260161988,82.80274241777863,73.26343217975776,69.6125423849131,51.385047458049215,73.76810785397953,682.62985681794,706.6391234005117,1880.682966839216,2018.2477231631694
0.055,0.0225,0.475,398.7941201920708,434.01575217433316,189.6955702524539,201.89110219425064,81.68692963664496,86.18827232200287,75.24098180841173,71.42929973233149,52.17063849456017,74.50707792574819,697.0595540720772,722.3318434510543,1921.3916600309144,2062.3120946984363
0.035,0.025,0.475,359.09796512851915,393.2471105474891,170.22296215455756,181.43267542122348,71.25600456780468,75.69693966710207,69.09134272133625,65.36268546580872,48.527655684820644,70.75480999335485,706.5441151509065,731.886454885277,1797.1329833936888,1922.7763090449848
0.04,0.025,0.475,370.4741632258133,402.9548165914125,176.3364201867937,186.00165792379903,74.3834976179965,78.10244463049511,70.4055640360494,67.282075762295,49.3486813849737,71.56863827482333,722.9522976343521,748.0810470848005,1840.2348749990595,1970.0491127427129
0.045,0.025,0.475,377.65848486076237,412.20814049626773,180.21772153092337,190.33368079415584,76.4499829579829,80.22728579907962,70.8368206837132,69.31037138280205,50.15395968814288,72.33680252023025,737.9089390393173,764.0371985146007,1881.7601429125757,2015.465202219609
0.05,0.025,0.475,386.6315218629573,419.364333969208,184.3889965449601,194.33986685316515,78.53516728704774,82.32907540891087,72.7605555299229,69.62043070541739,50.94680250102656,73.07496100171461,753.823054835285,779.2181430303636,1925.154894871743,2061.80701785131
