AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.080_CD_0.035_CoP_0.400,0.08,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,182
CL_0.090_CD_0.035_CoP_0.400,0.09,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,183
CL_0.100_CD_0.035_CoP_0.400,0.1,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,184
CL_0.110_CD_0.035_CoP_0.400,0.11,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,185
CL_0.120_CD_0.035_CoP_0.400,0.12,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,186
CL_0.130_CD_0.035_CoP_0.400,0.13,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,187
CL_0.140_CD_0.035_CoP_0.400,0.14,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,188
CL_0.040_CD_0.040_CoP_0.400,0.04,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,189
CL_0.050_CD_0.040_CoP_0.400,0.05,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,190
CL_0.060_CD_0.040_CoP_0.400,0.06,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,191
CL_0.070_CD_0.040_CoP_0.400,0.07,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,192
CL_0.080_CD_0.040_CoP_0.400,0.08,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,193
CL_0.090_CD_0.040_CoP_0.400,0.09,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,194
CL_0.100_CD_0.040_CoP_0.400,0.1,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,195
CL_0.110_CD_0.040_CoP_0.400,0.11,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,196
CL_0.120_CD_0.040_CoP_0.400,0.12,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,197
CL_0.130_CD_0.040_CoP_0.400,0.13,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,198
CL_0.140_CD_0.040_CoP_0.400,0.14,0.04,0.4,Lap_Sim_constantAero_T27.m not found.,199
CL_0.040_CD_0.045_CoP_0.400,0.04,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,200
CL_0.050_CD_0.045_CoP_0.400,0.05,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,201
CL_0.060_CD_0.045_CoP_0.400,0.06,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,202
